               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.050497,            0.041144,            0.028864,             0.97093,                 0.5,             0.53279,              0.2937,             0.03997,             0.03836,            0.024705,                 0.1,                   0,                   0
                   1,            0.036449,            0.031699,           0.0045905,             0.97053,                 0.5,             0.53393,             0.29438,            0.039782,            0.038486,            0.024922,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.049697,            0.028656,            0.026922,              0.9698,                 0.5,             0.53393,             0.30755,            0.039727,            0.038478,            0.024868,            0.098068,             6.8e-05,             6.8e-05
